set,experiment,class_id,class_name,precision,recall,f1,mAP50,mAP50-95
test,m640_i640,0,BAAC,0.9645199631173906,0.8771035500426181,0.9187370574842736,0.9473333333333332,0.7679267274421396
test,m640_i640,1,BAY,0.9533836772279595,0.8526357866382197,0.9001996466429362,0.9483217391304348,0.7650377201315309
test,m640_i640,2,BBL,0.9413653205838486,0.9047619047619048,0.9227007422185983,0.905,0.7948502046972635
test,m640_i640,3,GSB,0.9891158829869457,1.0,0.9945281634387685,0.995,0.9434675020885546
test,m640_i640,4,KBANK,0.9960122675032219,0.9714285714285714,0.9835668295584566,0.975,0.925570213054919
test,m640_i640,5,KTB,1.0,0.9580618303596824,0.9785817950229826,0.995,0.8881682773109244
test,m640_i640,6,K_PLUS,0.9719887093134126,1.0,0.9857954102098587,0.995,0.8455
test,m640_i640,7,SCB,1.0,0.9093737068305643,0.952536115457529,0.925,0.8315778370014127
test,m640_i960,0,BAAC,0.9031782031449473,0.9032258064516129,0.9032020041710466,0.951486407249467,0.702444583240143
test,m640_i960,1,BAY,0.8791676100353999,0.9583333333333334,0.9170451088196829,0.9452331002331003,0.7672414066841311
test,m640_i960,2,BBL,0.8270473883712041,0.9047619047619048,0.864160936655253,0.9186290322580646,0.7746731273154424
test,m640_i960,3,GSB,0.9663475044345605,1.0,0.9828857841813079,0.995,0.9293009663195422
test,m640_i960,4,KBANK,0.9711599727340194,0.9622962158138038,0.9667077767236082,0.9741428571428571,0.8903114587025878
test,m640_i960,5,KTB,1.0,0.9633883754037931,0.9813528362218823,0.995,0.8304645361174773
test,m640_i960,6,K_PLUS,0.9846986061606302,1.0,0.99229031864492,0.995,0.39775
test,m640_i960,7,SCB,0.9900236475137268,0.8974358974358975,0.9414588651360528,0.9385230934479055,0.8305374829013926
test,m960_i640,0,BAAC,0.9789280020761503,0.8709677419354839,0.9217975815617824,0.9491189699268013,0.7563221986227313
test,m960_i640,1,BAY,1.0,0.791625839454478,0.8836954926878211,0.915,0.7566353535353535
test,m960_i640,2,BBL,0.9932085416517957,0.9047619047619048,0.9469243882787001,0.905,0.8014782268170426
test,m960_i640,3,GSB,0.9932250297622214,1.0,0.996601000821976,0.995,0.9555910931174088
test,m960_i640,4,KBANK,0.9963348448999663,0.9714285714285714,0.9837240869652252,0.975,0.9129162869892848
test,m960_i640,5,KTB,0.9933545345697768,1.0,0.9966661899250865,0.995,0.9157121794871795
test,m960_i640,6,K_PLUS,0.9743296190401979,1.0,0.9869979254161818,0.995,0.945
test,m960_i640,7,SCB,1.0,0.9422958000735778,0.9702907250665753,0.975,0.8893758041640394
test,m960_i960,0,BAAC,0.9606212459359618,0.9032258064516129,0.931039806558804,0.9475693673695894,0.7736404145983502
test,m960_i960,1,BAY,1.0,0.8809041513158467,0.9366815961351161,0.9902564102564103,0.8292523372052782
test,m960_i960,2,BBL,0.9848032170435659,0.9047619047619048,0.9430873000202606,0.9526190476190477,0.8146882832080202
test,m960_i960,3,GSB,0.9843572682980609,1.0,0.9921169781511394,0.995,0.9622884615384615
test,m960_i960,4,KBANK,0.9916484754208331,0.9714285714285714,0.9814343898355208,0.975,0.9354470032684705
test,m960_i960,5,KTB,0.9854763811931421,1.0,0.9926850709762005,0.995,0.9272739495798319
test,m960_i960,6,K_PLUS,0.4881891476973168,0.5,0.4940239921020156,0.33840909090909105,0.2707272727272728
test,m960_i960,7,SCB,1.0,0.9605953569037173,0.9799016951878777,0.975,0.8796882926957574
test_0.5,m640_i640,0,BAAC,1.0,0.875332375493989,0.9335223845462745,0.9371540983606557,0.7474120587882063
test_0.5,m640_i640,1,BAY,0.9552833853771621,0.8905580417018325,0.9217859004259681,0.9500000000000001,0.7735945632798574
test_0.5,m640_i640,2,BBL,0.9492350616695404,0.9047619047619048,0.9264650784364424,0.905,0.7856118421052632
test_0.5,m640_i640,3,GSB,1.0,0.9522526141535681,0.9755424141833543,0.995,0.936014705882353
test_0.5,m640_i640,4,KBANK,0.9903422200048553,0.9714285714285714,0.9807942214306985,0.975,0.9077121163594954
test_0.5,m640_i640,5,KTB,1.0,0.8944786729814824,0.9443005991445389,0.9771428571428572,0.873689991381168
test_0.5,m640_i640,6,K_PLUS,0.964267329631638,1.0,0.9818086520967271,0.995,0.82075
test_0.5,m640_i640,7,SCB,0.9995112684617605,0.8974358974358975,0.945727227763671,0.9234210526315789,0.8258346998917597
test_0.5,m640_i960,0,BAAC,0.941310243533898,0.9032258064516129,0.9218748571964724,0.948871921182266,0.6589783981914742
test_0.5,m640_i960,1,BAY,0.809946965403609,0.8881897476111126,0.847265812306811,0.9238471177944861,0.7271521257689678
test_0.5,m640_i960,2,BBL,0.8050304899251559,0.9047619047619048,0.8519875532484208,0.905,0.7662658410732714
test_0.5,m640_i960,3,GSB,0.9013426276584171,0.9473684210526315,0.9237825917549851,0.9855502392344497,0.8773515339150014
test_0.5,m640_i960,4,KBANK,0.9707865518926565,0.9495999072074622,0.9600763588257086,0.9741428571428571,0.8819607575757574
test_0.5,m640_i960,5,KTB,0.9611935784235737,0.7777777777777778,0.8598129035013216,0.9068623481781377,0.7337614227877387
test_0.5,m640_i960,6,K_PLUS,1.0,0.9404103470559166,0.9692901797630096,0.995,0.5732727272727272
test_0.5,m640_i960,7,SCB,0.9722249151052955,0.897527869750092,0.9333843105252115,0.9241891891891892,0.8132133422141837
test_0.5,m960_i640,0,BAAC,1.0,0.8292091146005262,0.9066312954400667,0.9012500000000001,0.7172368626120444
test_0.5,m960_i640,1,BAY,1.0,0.7585206709791821,0.8626804148475792,0.9132608695652173,0.7393182916117699
test_0.5,m960_i640,2,BBL,0.9930208983273259,0.9047619047619048,0.9468390987382824,0.905,0.7894769005847955
test_0.5,m960_i640,3,GSB,0.9951475941711705,1.0,0.9975678963085208,0.995,0.9436014763014763
test_0.5,m960_i640,4,KBANK,0.9967679709526602,0.9714285714285714,0.9839351560864036,0.975,0.8954186164162635
test_0.5,m960_i640,5,KTB,1.0,0.9871095088005225,0.9935129437293778,0.995,0.9011961633138104
test_0.5,m960_i640,6,K_PLUS,0.9740380557157597,1.0,0.9868483060855547,0.995,0.8955
test_0.5,m960_i640,7,SCB,1.0,0.9288147367528464,0.9630937788421331,0.9728048780487805,0.8679969214697335
test_0.5,m960_i960,0,BAAC,0.9328923328923329,0.8970375744569292,0.9146136933074174,0.918,0.7381342622885588
test_0.5,m960_i960,1,BAY,0.9712255618773786,0.875,0.9206051353536066,0.9043333333333334,0.7594386591478697
test_0.5,m960_i960,2,BBL,0.9660813846051222,0.9047619047619048,0.9344167292452152,0.9466666666666668,0.8264407407407408
test_0.5,m960_i960,3,GSB,0.9654679077176862,1.0,0.9824305997840419,0.995,0.9382142857142858
test_0.5,m960_i960,4,KBANK,0.9538053661446978,0.9714285714285714,0.9625363091435605,0.975,0.9103091555183946
test_0.5,m960_i960,5,KTB,1.0,0.9843168515299663,0.9920964494869146,0.995,0.897792735042735
test_0.5,m960_i960,6,K_PLUS,0.6508561541674124,1.0,0.7885074087459343,0.8283333333333331,0.6791666666666665
test_0.5,m960_i960,7,SCB,0.9834917708604425,0.9487179487179487,0.9657919489560326,0.9692553191489361,0.8528008631806937
test_0.25,m640_i640,0,BAAC,0.9644646483842814,0.8756546609044008,0.9179165289686408,0.9480303030303029,0.7661560514198444
test_0.25,m640_i640,1,BAY,0.9536194482431042,0.857174378679755,0.9028285229288404,0.9469063545150501,0.7755883422630225
test_0.25,m640_i640,2,BBL,0.9212036305786305,0.9047619047619048,0.9129087437244154,0.905,0.7979299039453838
test_0.25,m640_i640,3,GSB,0.9921758143050362,1.0,0.9960725425744146,0.995,0.945375
test_0.25,m640_i640,4,KBANK,0.9936730177155239,0.9714285714285714,0.9824248938569532,0.975,0.9242185436515256
test_0.25,m640_i640,5,KTB,0.996800325468029,0.9444444444444444,0.9699163590288933,0.9923684210526315,0.8731222007223941
test_0.25,m640_i640,6,K_PLUS,0.9705839871742513,1.0,0.9850724389230777,0.995,0.82075
test_0.25,m640_i640,7,SCB,0.9980119741509864,0.9230769230769231,0.9590829696871922,0.925,0.8395329749879752
test_0.25,m640_i960,0,BAAC,0.8970402659166067,0.9354838709677419,0.9158588238846864,0.9563303571428572,0.6932024348061117
test_0.25,m640_i960,1,BAY,0.8817232924302411,0.9322241677730096,0.906270749870296,0.9452331002331003,0.7622844927002821
test_0.25,m640_i960,2,BBL,0.8430885430885431,0.9047619047619048,0.8728371435506211,0.905,0.7674704521484708
test_0.25,m640_i960,3,GSB,0.96560071340617,1.0,0.9824993517965205,0.995,0.9186808166248955
test_0.25,m640_i960,4,KBANK,0.9711483917028204,0.9619024607530354,0.9665033142283859,0.9741428571428571,0.8933356729683359
test_0.25,m640_i960,5,KTB,1.0,0.9067202475322133,0.9510784276883225,0.995,0.8080287114845939
test_0.25,m640_i960,6,K_PLUS,0.9645644280954437,1.0,0.9819626318191511,0.995,0.546
test_0.25,m640_i960,7,SCB,0.9877724339175586,0.8974358974358975,0.9404397656770622,0.9424358974358975,0.8279153535496881
test_0.25,m960_i640,0,BAAC,0.9654480641469786,0.9014138092692453,0.9323327339283201,0.9405256195431696,0.742280866625935
test_0.25,m960_i640,1,BAY,1.0,0.8070136858896549,0.8932015204880249,0.915,0.743737024087024
test_0.25,m960_i640,2,BBL,0.9850028344061756,0.9047619047619048,0.9431788224025505,0.905,0.7960139411027569
test_0.25,m960_i640,3,GSB,0.9866174133383672,1.0,0.9932636316525866,0.995,0.9536103896103896
test_0.25,m960_i640,4,KBANK,0.9915606944304516,0.9714285714285714,0.9813913969150277,0.975,0.9178395136726019
test_0.25,m960_i640,5,KTB,0.9867105736570156,1.0,0.9933108392741263,0.995,0.9011027795733677
test_0.25,m960_i640,6,K_PLUS,0.6386626473843698,1.0,0.7794925311854786,0.8283333333333331,0.7454999999999998
test_0.25,m960_i640,7,SCB,1.0,0.9570162565331647,0.9780360825704224,0.975,0.8893189142689144
test_0.25,m960_i960,0,BAAC,0.9099535916572207,0.9354838709677419,0.922542134929544,0.9646770921939412,0.7730344529116802
test_0.25,m960_i960,1,BAY,0.9630020628275427,0.875,0.9168942973631063,0.9445238095238095,0.7914110644257702
test_0.25,m960_i960,2,BBL,0.9255787012094223,0.9047619047619048,0.9150519263805323,0.9484782608695652,0.8129755228063764
test_0.25,m960_i960,3,GSB,0.95863087662413,1.0,0.9788785503845557,0.995,0.9581486068111454
test_0.25,m960_i960,4,KBANK,0.9737267527563848,0.9714285714285714,0.9725763044534891,0.975,0.922208294694436
test_0.25,m960_i960,5,KTB,0.9586930531132464,1.0,0.9789109647266587,0.995,0.9145291666666665
test_0.25,m960_i960,6,K_PLUS,0.633470581419711,0.9004117442591331,0.7437133104725442,0.6633333333333333,0.5471666666666667
test_0.25,m960_i960,7,SCB,1.0,0.9712563188245276,0.985418597824654,0.975,0.8830458845059862
